Top-K,Classifier,Class,Accuracy,Precision,Recall,F1,Precision (Macro),Recall (Macro),F1 (Macro)
10,SVM,Class 0,0.9241241476604749,0.9241241476604749,1.0,0.9605660308188628,0.3080413825534916,0.3333333333333333,0.32018867693962094
10,SVM,Class 1,0.9241241476604749,0.0,0.0,0.0,0.3080413825534916,0.3333333333333333,0.32018867693962094
10,SVM,Class 2,0.9241241476604749,0.0,0.0,0.0,0.3080413825534916,0.3333333333333333,0.32018867693962094
10,RF,Class 0,0.9241711732894428,0.924187555848187,0.9999745566496197,0.9605885444035733,0.6413958519493956,0.3337129003345065,0.3209713752663074
10,RF,Class 1,0.9241711732894428,1.0,0.0011641443538998836,0.002325581395348837,0.6413958519493956,0.3337129003345065,0.3209713752663074
10,RF,Class 2,0.9241711732894428,0.0,0.0,0.0,0.6413958519493956,0.3337129003345065,0.3209713752663074
10,KNN,Class 0,0.9235128144838938,0.9241376064755988,0.9992621428389691,0.9602327599907091,0.34137920215853296,0.3334754290642896,0.3208447519876971
10,KNN,Class 1,0.9235128144838938,0.1,0.0011641443538998836,0.0023014959723820483,0.34137920215853296,0.3334754290642896,0.3208447519876971
10,KNN,Class 2,0.9235128144838938,0.0,0.0,0.0,0.34137920215853296,0.3334754290642896,0.3208447519876971
20,SVM,Class 0,0.9241241476604749,0.9241241476604749,1.0,0.9605660308188628,0.3080413825534916,0.3333333333333333,0.32018867693962094
20,SVM,Class 1,0.9241241476604749,0.0,0.0,0.0,0.3080413825534916,0.3333333333333333,0.32018867693962094
20,SVM,Class 2,0.9241241476604749,0.0,0.0,0.0,0.3080413825534916,0.3333333333333333,0.32018867693962094
20,RF,Class 0,0.9241476604749589,0.924185773074662,0.9999491132992392,0.96057584201007,0.5080619243582206,0.333704419217713,0.32096654067518726
20,RF,Class 1,0.9241476604749589,0.6,0.0011641443538998836,0.0023237800154918666,0.5080619243582206,0.333704419217713,0.32096654067518726
20,RF,Class 2,0.9241476604749589,0.0,0.0,0.0,0.5080619243582206,0.333704419217713,0.32096654067518726
20,KNN,Class 0,0.9236538913707971,0.9241682744341443,0.9993893595908709,0.9603080496302182,0.5131842966062532,0.33403065516107744,0.32189352231580803
20,KNN,Class 1,0.9236538913707971,0.11538461538461539,0.0011641443538998836,0.002305032654629274,0.5131842966062532,0.33403065516107744,0.32189352231580803
20,KNN,Class 2,0.9236538913707971,0.5,0.0015384615384615385,0.003067484662576687,0.5131842966062532,0.33403065516107744,0.32189352231580803
30,SVM,Class 0,0.9241241476604749,0.9241241476604749,1.0,0.9605660308188628,0.3080413825534916,0.3333333333333333,0.32018867693962094
30,SVM,Class 1,0.9241241476604749,0.0,0.0,0.0,0.3080413825534916,0.3333333333333333,0.32018867693962094
30,SVM,Class 2,0.9241241476604749,0.0,0.0,0.0,0.3080413825534916,0.3333333333333333,0.32018867693962094
30,RF,Class 0,0.924100634845991,0.9241622574955908,0.9999236699488588,0.9605514004986069,0.47472075249853024,0.333566588728264,0.32070039580096915
30,RF,Class 1,0.924100634845991,0.5,0.0007760962359332557,0.0015497869043006587,0.47472075249853024,0.333566588728264,0.32070039580096915
30,RF,Class 2,0.924100634845991,0.0,0.0,0.0,0.47472075249853024,0.333566588728264,0.32070039580096915
30,KNN,Class 0,0.9236303785563131,0.9241864514459164,0.9993384728901101,0.9602943693308232,0.5117658541856759,0.334526513440311,0.3229049082491105
30,KNN,Class 1,0.9236303785563131,0.1111111111111111,0.0011641443538998836,0.002304147465437788,0.5117658541856759,0.334526513440311,0.3229049082491105
30,KNN,Class 2,0.9236303785563131,0.5,0.003076923076923077,0.0061162079510703364,0.5117658541856759,0.334526513440311,0.3229049082491105
40,SVM,Class 0,0.9241241476604749,0.9241241476604749,1.0,0.9605660308188628,0.3080413825534916,0.3333333333333333,0.32018867693962094
40,SVM,Class 1,0.9241241476604749,0.0,0.0,0.0,0.3080413825534916,0.3333333333333333,0.32018867693962094
40,SVM,Class 2,0.9241241476604749,0.0,0.0,0.0,0.3080413825534916,0.3333333333333333,0.32018867693962094
40,RF,Class 0,0.9240771220315072,0.9241604740852225,0.9998982265984785,0.9605386974959366,0.4747201580284075,0.3335581076114706,0.32069616146674573
40,RF,Class 1,0.9240771220315072,0.5,0.0007760962359332557,0.0015497869043006587,0.4747201580284075,0.3335581076114706,0.32069616146674573
40,RF,Class 2,0.9240771220315072,0.0,0.0,0.0,0.4747201580284075,0.3335581076114706,0.32069616146674573
40,KNN,Class 0,0.9235128144838938,0.9241575677710844,0.9992366994885886,0.960231787674666,0.4514216982176016,0.3339797684603167,0.32186506276929755
40,KNN,Class 1,0.9235128144838938,0.0967741935483871,0.0011641443538998836,0.0023006134969325155,0.4514216982176016,0.3339797684603167,0.32186506276929755
40,KNN,Class 2,0.9235128144838938,0.3333333333333333,0.0015384615384615385,0.0030627871362940277,0.4514216982176016,0.3339797684603167,0.32186506276929755
50,SVM,Class 0,0.9241241476604749,0.9241241476604749,1.0,0.9605660308188628,0.3080413825534916,0.3333333333333333,0.32018867693962094
50,SVM,Class 1,0.9241241476604749,0.0,0.0,0.0,0.3080413825534916,0.3333333333333333,0.32018867693962094
50,SVM,Class 2,0.9241241476604749,0.0,0.0,0.0,0.3080413825534916,0.3333333333333333,0.32018867693962094
50,RF,Class 0,0.9240771220315072,0.9241604740852225,0.9998982265984785,0.9605386974959366,0.4747201580284075,0.3335581076114706,0.32069616146674573
50,RF,Class 1,0.9240771220315072,0.5,0.0007760962359332557,0.0015497869043006587,0.4747201580284075,0.3335581076114706,0.32069616146674573
50,RF,Class 2,0.9240771220315072,0.0,0.0,0.0,0.4747201580284075,0.3335581076114706,0.32069616146674573
50,KNN,Class 0,0.9235128144838938,0.9241575677710844,0.9992366994885886,0.960231787674666,0.4514216982176016,0.3339797684603167,0.32186506276929755
